Id:ID,name,volume:INT,year:INT
e8014b12-59bf-44b4-ae0f-f2d4a1298a58,"Ware, Fowler and Garcia Journal",28,2015
bd07fe26-6e6b-4391-b499-72139e8e1648,"Ware, Fowler and Garcia Journal",29,2015
a68e8559-e9a9-4e79-a2e2-acdd2159a274,"Ware, Fowler and Garcia Journal",30,2015
b304057e-b368-4e9e-9037-a580a2efe86c,"Ware, Fowler and Garcia Journal",31,2016
b29cd8f9-9448-4d43-985f-01daae3f8534,"Ware, Fowler and Garcia Journal",32,2016
5d662422-ff8e-473a-aafb-66134b719343,"Ware, Fowler and Garcia Journal",33,2016
8c9ee9ae-961b-468f-a4b1-967f3f23fa9a,"Ware, Fowler and Garcia Journal",34,2017
df57502b-f127-4d07-a841-a0f9a349eaf0,"Ware, Fowler and Garcia Journal",35,2017
515277ce-1acb-47a9-9591-f1832779079f,"Ware, Fowler and Garcia Journal",36,2017
9844b058-4894-45f6-afce-69e05d8a113a,"Ware, Fowler and Garcia Journal",37,2018
d295d38b-acdb-43ee-94a9-03c6ffd36997,"Ware, Fowler and Garcia Journal",38,2018
34431488-e41e-4e9c-a5cf-96a5f6e9f408,"Ware, Fowler and Garcia Journal",39,2018
c7fd0917-a4c2-47a1-83cb-7099d01df0eb,"Ware, Fowler and Garcia Journal",40,2019
92e80683-4f12-44d2-99c1-27978c45f62f,"Ware, Fowler and Garcia Journal",41,2019
4c7ed519-f495-49b5-aeb2-42570d3680d7,"Ware, Fowler and Garcia Journal",42,2019
85765288-fe4e-4258-aca1-77a2ee0b2a6f,"Ware, Fowler and Garcia Journal",43,2020
0a266094-e868-4ec8-9b03-44aa5a0e7f27,"Ware, Fowler and Garcia Journal",44,2020
78337156-0c9a-49ff-afcc-54cae1cf483b,"Ware, Fowler and Garcia Journal",45,2020
198540c5-01c5-47a8-99f0-67536f754676,"Ware, Fowler and Garcia Journal",46,2021
a1394e66-bbf9-48a6-aa41-36aa27674fb8,"Ware, Fowler and Garcia Journal",47,2021
7766b4a6-2c28-479e-b78e-2d65ee2872d9,"Ware, Fowler and Garcia Journal",48,2021
85fc4307-a925-4d9e-acf4-b87d5fbf427d,"Ware, Fowler and Garcia Journal",49,2022
b6866be6-24b2-44ab-b07d-ab3559ff55f4,"Ware, Fowler and Garcia Journal",50,2022
ba95a524-c98b-4cd0-ac99-f81317835cc1,"Ware, Fowler and Garcia Journal",51,2022
57e0678d-3158-4766-b9bc-b4326891cec3,"York, Foster and Johnston Journal",19,2015
a39a7170-c211-4b62-95b4-4748826e89a6,"York, Foster and Johnston Journal",20,2015
f0742c97-2f12-4ac4-9c7d-c0d43e11eaf3,"York, Foster and Johnston Journal",21,2016
55ffcaf2-2793-4551-9938-f2f200ba5cb8,"York, Foster and Johnston Journal",22,2016
bb9001ec-4df3-4ce2-8a04-41d5004f3be3,"York, Foster and Johnston Journal",23,2017
c1fc5885-16a0-4c7c-8215-2f87fb044f33,"York, Foster and Johnston Journal",24,2017
e4b83a99-186d-4803-b618-9447140cf22d,"York, Foster and Johnston Journal",25,2018
007c708a-53c5-49bf-9b49-46a48ae3e04f,"York, Foster and Johnston Journal",26,2018
9da0a795-8286-4fa2-98c9-bdb0820dc465,"York, Foster and Johnston Journal",27,2019
695fb617-86d9-4854-bf4e-a041f3a3aa67,"York, Foster and Johnston Journal",28,2019
d47c3652-d829-4c07-9623-d979902dc55d,"York, Foster and Johnston Journal",29,2020
7bea0004-9891-4b51-ae72-bc6a9f9aa243,"York, Foster and Johnston Journal",30,2020
f67f203d-bdef-4a09-b0b8-4263ba4ffba0,"York, Foster and Johnston Journal",31,2021
341511da-679c-430f-b5d3-1a4622468dab,"York, Foster and Johnston Journal",32,2021
e8471199-d17a-463e-8f4e-e49510bab702,"York, Foster and Johnston Journal",33,2022
237159c7-7dab-4923-b3cd-5c29a7d43760,"York, Foster and Johnston Journal",34,2022
